x,y,z,h,local_x,local_y,local_z
399267.22362990887,6412088.267405571,127.03240350277112,16.0,-31.740000000000002,68.87,-14.86
399256.2305551829,6412085.973586034,127.01240350277112,15.979999999999999,-42.61,66.05,-14.88
399279.41439201095,6412085.287502993,126.99240350277111,15.959999999999999,-19.42,66.48,-14.9
399207.5852611415,6412052.735248716,126.98240350277112,15.95,-89.60000000000001,30.51,-14.91
399247.4247210308,6412059.456501263,126.98240350277112,15.95,-50.13,39.14,-14.91
399251.0476064602,6412060.052908139,126.98240350277112,15.95,-46.54,39.910000000000004,-14.91
399255.2488811006,6412075.568764268,126.98240350277112,15.95,-43.09,55.61,-14.91
399275.01281564654,6412079.332351819,126.98240350277112,15.95,-23.53,60.32,-14.91
399194.852107631,6412001.007904866,126.97240350277112,15.94,-99.83,-21.77,-14.92
399250.312915813,6412005.094621872,126.97240350277112,15.94,-44.63,-15.02,-14.92
399251.2851739301,6412075.379224127,126.96240350277111,15.93,-47.04,55.230000000000004,-14.93
399259.30580320774,6412061.687529345,126.96240350277111,15.93,-38.37,41.94,-14.93
399271.4930291423,6412083.786833043,126.96240350277111,15.93,-27.26,64.6,-14.93
399273.799567794,6412019.010877788,126.96240350277111,15.93,-21.84,0.01,-14.93
399279.11849679565,6412100.138932084,126.96240350277111,15.93,-20.43,81.3,-14.93
399187.6779202002,6412039.757892412,126.93240350277111,15.899999999999999,-108.86,16.59,-14.96
399263.3723400558,6412087.501790481,126.89240350277112,15.86,-35.550000000000004,67.92,-15.0
399269.54008191754,6412018.084713617,126.88240350277111,15.85,-26.05,-1.12,-15.01
399258.09386865445,6412021.349128104,126.87240350277112,15.84,-37.64,1.59,-15.02
399262.4288024514,6412042.134655493,126.87240350277112,15.84,-34.31,22.56,-15.02
399227.5600152017,6412061.084003131,126.85240350277111,15.819999999999999,-70.05,39.81,-15.040000000000001
399251.8716566791,6412065.729838756,126.85240350277111,15.819999999999999,-45.99,45.62,-15.040000000000001
399243.44792463636,6412054.421981379,126.84240350277112,15.809999999999999,-53.86,33.92,-15.05
